Step: 1000, Reward: -336.05838096141815
Step: 2000, Reward: -152.76304464042187
Step: 3000, Reward: -404.19023344665766
Step: 4000, Reward: -1552.3066927790642
Step: 5000, Reward: -954.4969727993011
Step: 6000, Reward: -260.2551298290491
Step: 7000, Reward: -34.435493901371956
Step: 8000, Reward: -55.18446224927902
Step: 9000, Reward: -260.7820565253496
Step: 10000, Reward: -298.1262223124504
Step: 11000, Reward: -162.7684600353241
Step: 12000, Reward: -83.16749447584152
Step: 13000, Reward: 3.881910338997841
Step: 14000, Reward: -507.2216260433197
Step: 15000, Reward: -395.2607099711895
Step: 16000, Reward: -370.0179608017206
Step: 17000, Reward: -144.6798501163721
Step: 18000, Reward: -172.79642543196678
Step: 19000, Reward: -235.68039959669113
Step: 20000, Reward: -328.5382161587477
Step: 21000, Reward: -302.43768551945686
Step: 22000, Reward: -268.21792820096016
Step: 23000, Reward: -106.69906301796436
Step: 24000, Reward: -347.20068784058094
Step: 25000, Reward: -82.38647773861885
Step: 26000, Reward: -28.580119356513023
Step: 27000, Reward: -174.1449501812458
Step: 28000, Reward: -391.30231250822544
Step: 29000, Reward: -293.27384728193283
Step: 30000, Reward: -289.06428126990795
Step: 31000, Reward: -10.592743493616581
Step: 32000, Reward: -432.2581682354212
Step: 33000, Reward: -361.8778822273016
Step: 34000, Reward: -539.7434194535017
Step: 35000, Reward: -383.24832804501057
Step: 36000, Reward: -141.01432782411575
Step: 37000, Reward: -162.88995054364204
Step: 38000, Reward: -377.04640609025955
Step: 39000, Reward: -488.09964464604855
Step: 40000, Reward: 46.92528332769871
Step: 41000, Reward: -121.79695208370686
Step: 42000, Reward: -124.51126618683338
