Step: 1000, Reward: 48.57087177038193
Step: 2000, Reward: 140.447072789073
Step: 3000, Reward: -8.555208399891853
Step: 4000, Reward: 27.751025050878525
Step: 5000, Reward: -11.319663733243942
Step: 6000, Reward: -50.718437522649765
Step: 7000, Reward: 86.3939353376627
Step: 8000, Reward: 3.9644526094198227
Step: 9000, Reward: -2.860520362854004
Step: 10000, Reward: 94.64301985502243
Step: 11000, Reward: -10.468042433261871
Step: 12000, Reward: 158.92205571383238
Step: 13000, Reward: 15.518573343753815
Step: 14000, Reward: 25.158451803028584
Step: 15000, Reward: 80.84373877197504
Step: 16000, Reward: 57.17644554376602
Step: 17000, Reward: 110.75261206179857
Step: 18000, Reward: 25.936957210302353
Step: 19000, Reward: 147.70183861255646
Step: 20000, Reward: 1.6525492891669273
Step: 21000, Reward: 134.11135990917683
Step: 22000, Reward: 41.587635949254036
Step: 23000, Reward: 103.9191161096096
Step: 24000, Reward: 102.61499284207821
Step: 25000, Reward: 47.16392056643963
Step: 26000, Reward: 81.21142254769802
Step: 27000, Reward: 102.04029294848442
Step: 28000, Reward: 135.1067190244794
Step: 29000, Reward: 132.94724099338055
Step: 30000, Reward: 136.36275146901608
Step: 31000, Reward: 176.02572707086802
Step: 32000, Reward: 26.13640808314085
Step: 33000, Reward: 137.9591523706913
Step: 34000, Reward: 95.0558768287301
Step: 35000, Reward: 123.40162893012166
Step: 36000, Reward: 137.5778208747506
Step: 37000, Reward: 56.56895063817501
Step: 38000, Reward: 84.42135453224182
Step: 39000, Reward: 152.6669479906559
Step: 40000, Reward: 109.2097928673029
Step: 41000, Reward: 140.79623570293188
Step: 42000, Reward: 150.88698924332857
Step: 43000, Reward: 194.90819221735
Step: 44000, Reward: 162.7099032998085
Step: 45000, Reward: 155.18031352758408
Step: 46000, Reward: 99.48232393711805
Step: 47000, Reward: 102.93678193539381
Step: 48000, Reward: 158.16436977684498
Step: 49000, Reward: 101.14330009371042
Step: 50000, Reward: 131.0680697709322
Step: 51000, Reward: 128.5316926650703
Step: 52000, Reward: 59.90769304335117
Step: 53000, Reward: 75.5316978469491
Step: 54000, Reward: 63.039028242230415
Step: 55000, Reward: 107.00542559474707
Step: 56000, Reward: 140.4693966805935
Step: 57000, Reward: 144.72396736219525
Step: 58000, Reward: 82.30976042151451
Step: 59000, Reward: 108.69946420192719
Step: 60000, Reward: 166.62430729717016
Step: 61000, Reward: 113.80504462495446
Step: 62000, Reward: 166.40409468486905
Step: 63000, Reward: 169.41607559472322
Step: 64000, Reward: 174.00858713313937
Step: 65000, Reward: 165.03694110363722
Step: 66000, Reward: 204.74511467292905
Step: 67000, Reward: 158.97183249890804
Step: 68000, Reward: 127.74110840260983
Step: 69000, Reward: 152.19806702435017
Step: 70000, Reward: 154.1730637177825
Step: 71000, Reward: 109.81783045828342
Step: 72000, Reward: 224.02427557110786
Step: 73000, Reward: 150.5439124777913
Step: 74000, Reward: 127.38110146671534
Step: 75000, Reward: 146.16207530349493
Step: 76000, Reward: 154.25837198644876
Step: 77000, Reward: 117.67490889877081
Step: 78000, Reward: 178.35652837902308
Step: 79000, Reward: 173.5919635258615
Step: 80000, Reward: 182.4925173819065
Step: 81000, Reward: 218.83382140100002
Step: 82000, Reward: 171.88320425897837
Step: 83000, Reward: 218.86237699910998
Step: 84000, Reward: 146.776398524642
Step: 85000, Reward: 151.8349910080433
Step: 86000, Reward: 212.42566414549947
Step: 87000, Reward: 201.99058824032545
Step: 88000, Reward: 161.37537962198257
Step: 89000, Reward: 167.06049690023065
Step: 90000, Reward: 156.41655596345663
Step: 91000, Reward: 234.67204571515322
Step: 92000, Reward: 229.71511598676443
Step: 93000, Reward: 185.2094096392393
Step: 94000, Reward: 155.90153151378036
