Step: 1000, Reward: -188.23622712492943
Step: 2000, Reward: -248.10835206508636
Step: 3000, Reward: -561.7254663705826
Step: 4000, Reward: -105.7663968205452
Step: 5000, Reward: -371.0177268385887
Step: 6000, Reward: -138.3151754140854
Step: 7000, Reward: -129.6644731760025
Step: 8000, Reward: -46.33424931764603
Step: 9000, Reward: -42.29554307460785
Step: 10000, Reward: -950.7146202623844
Step: 11000, Reward: -124.23260778188705
Step: 12000, Reward: -715.4468577504158
Step: 13000, Reward: -11.665254846215248
Step: 14000, Reward: -583.728090941906
Step: 15000, Reward: -204.78145357966423
Step: 16000, Reward: -134.1480724811554
Step: 17000, Reward: -158.85907199978828
Step: 18000, Reward: -287.2129438817501
Step: 19000, Reward: -123.7850576043129
Step: 20000, Reward: 9.964410439133644
Step: 21000, Reward: -46.19801904261112
Step: 22000, Reward: 59.87714084982872
Step: 23000, Reward: -315.47476667165756
Step: 24000, Reward: 1.9927803575992584
Step: 25000, Reward: 0.08782875537872314
Step: 26000, Reward: -97.91238635778427
Step: 27000, Reward: -189.12859165668488
Step: 28000, Reward: -91.21435418725014
Step: 29000, Reward: -368.25365859270096
Step: 30000, Reward: -17.65996479988098
Step: 31000, Reward: 18.781228363513947
Step: 32000, Reward: -346.2490160167217
Step: 33000, Reward: -666.5739862918854
Step: 34000, Reward: -519.2732207775116
Step: 35000, Reward: -311.92339158058167
