Step: 1000, Reward: 77.40206314623356
Step: 2000, Reward: -30.92296452820301
Step: 3000, Reward: 7.668328657746315
Step: 4000, Reward: -41.49235373735428
Step: 5000, Reward: 7.04991240799427
Step: 6000, Reward: 30.99136573076248
Step: 7000, Reward: 67.01387879252434
Step: 8000, Reward: 65.89860574901104
Step: 9000, Reward: 71.31119164824486
Step: 10000, Reward: 0.1442374438047409
Step: 11000, Reward: 15.329130128026009
Step: 12000, Reward: 30.51815229654312
Step: 13000, Reward: 84.90837001800537
Step: 14000, Reward: 73.45868118852377
Step: 15000, Reward: 36.653261967003345
Step: 16000, Reward: 100.610332287848
Step: 17000, Reward: 92.83246194571257
Step: 18000, Reward: 133.01909919828176
Step: 19000, Reward: 173.90111102163792
Step: 20000, Reward: 85.81471118330956
Step: 21000, Reward: -35.27196138352156
Step: 22000, Reward: 157.8809395097196
Step: 23000, Reward: 42.30495624989271
Step: 24000, Reward: 117.77451323717833
Step: 25000, Reward: 67.32006858289242
Step: 26000, Reward: 77.09465555846691
Step: 27000, Reward: -15.732007339596748
Step: 28000, Reward: 93.51336252689362
Step: 29000, Reward: 1.9419294521212578
Step: 30000, Reward: 146.31435354799032
Step: 31000, Reward: 168.33050621300936
Step: 32000, Reward: 69.16606602072716
Step: 33000, Reward: 112.70540788769722
Step: 34000, Reward: 97.53319937735796
Step: 35000, Reward: 57.88050787895918
Step: 36000, Reward: 117.49806260690093
Step: 37000, Reward: 131.07041655480862
Step: 38000, Reward: 130.4657916650176
Step: 39000, Reward: 129.000495120883
Step: 40000, Reward: 91.90108361840248
Step: 41000, Reward: 107.56956574320793
Step: 42000, Reward: 143.5694884210825
Step: 43000, Reward: 135.96577055752277
Step: 44000, Reward: 134.58991089463234
Step: 45000, Reward: 80.9084774851799
Step: 46000, Reward: 68.57906352356076
Step: 47000, Reward: 97.3356666713953
Step: 48000, Reward: 156.80568832159042
Step: 49000, Reward: 113.66819675266743
Step: 50000, Reward: 139.19088761508465
Step: 51000, Reward: 125.5000046826899
Step: 52000, Reward: 184.63920076191425
Step: 53000, Reward: 106.74055474996567
Step: 54000, Reward: 125.56198762357235
Step: 55000, Reward: 147.21941703557968
Step: 56000, Reward: 59.904665634036064
Step: 57000, Reward: 181.88034775853157
Step: 58000, Reward: 154.7198884189129
Step: 59000, Reward: 72.90378237515688
Step: 60000, Reward: -4.523382931947708
Step: 61000, Reward: 191.9582893177867
Step: 62000, Reward: 163.39516100287437
Step: 63000, Reward: 156.92025937885046
Step: 64000, Reward: 149.94007072225213
Step: 65000, Reward: 137.58196695894003
Step: 66000, Reward: 161.56879803538322
Step: 67000, Reward: 135.48773599416018
Step: 68000, Reward: 159.75964730605483
Step: 69000, Reward: 162.5564378835261
Step: 70000, Reward: 183.12302687764168
Step: 71000, Reward: 110.79286363720894
Step: 72000, Reward: 160.3061766065657
Step: 73000, Reward: 205.55832199007273
Step: 74000, Reward: 204.63274263963103
Step: 75000, Reward: 126.1605623960495
Step: 76000, Reward: 195.46446223184466
Step: 77000, Reward: 132.72146080434322
Step: 78000, Reward: 188.76922203972936
Step: 79000, Reward: 107.93775239214301
Step: 80000, Reward: 180.88209751993418
Step: 81000, Reward: 198.00801523402333
Step: 82000, Reward: 155.66885033994913
Step: 83000, Reward: 211.37971729040146
Step: 84000, Reward: 199.40236534923315
Step: 85000, Reward: 183.3209878653288
Step: 86000, Reward: 172.87782125920057
Step: 87000, Reward: 167.75350446254015
Step: 88000, Reward: 99.99092998355627
Step: 89000, Reward: 173.553767696023
Step: 90000, Reward: 154.55790469795465
Step: 91000, Reward: 210.151177033782
Step: 92000, Reward: 197.40819292515516
Step: 93000, Reward: 181.93050638213754
Step: 94000, Reward: 177.55276146531105
Step: 95000, Reward: 172.71216206252575
Step: 96000, Reward: 191.7849553078413
Step: 97000, Reward: 210.701676979661
Step: 98000, Reward: 144.1522192582488
Step: 99000, Reward: 199.17814226821065
Step: 100000, Reward: 217.3743586950004
Step: 101000, Reward: 199.7656027264893
Step: 102000, Reward: 228.24863551929593
Step: 103000, Reward: 185.2431472055614
Step: 104000, Reward: 235.20884150266647
Step: 105000, Reward: 163.98866317421198
Step: 106000, Reward: 172.90329944342375
Step: 107000, Reward: 214.0773810222745
Step: 108000, Reward: 202.76046038419008
Step: 109000, Reward: 119.38644025474787
Step: 110000, Reward: 242.25590506196022
Step: 111000, Reward: 228.36797926202416
Step: 112000, Reward: 211.8682165145874
Step: 113000, Reward: 243.82842707261443
Step: 114000, Reward: 191.24159191176295
Step: 115000, Reward: 221.59936509653926
Step: 116000, Reward: 207.338918492198
Step: 117000, Reward: 230.44500371068716
Step: 118000, Reward: 166.25945872813463
Step: 119000, Reward: 137.38301219046116
Step: 120000, Reward: 182.49015562608838
Step: 121000, Reward: 168.4953605979681
Step: 122000, Reward: 136.4775197133422
Step: 123000, Reward: 242.4295916594565
Step: 124000, Reward: 136.48186680302024
Step: 125000, Reward: 172.88325273245573
Step: 126000, Reward: 128.116798710078
Step: 127000, Reward: 223.93433271721005
Step: 128000, Reward: 190.910365216434
Step: 129000, Reward: 250.04739786684513
Step: 130000, Reward: 157.50297371670604
Step: 131000, Reward: 202.9317072853446
Step: 132000, Reward: 184.3645579367876
Step: 133000, Reward: 159.60352880507708
Step: 134000, Reward: 199.50645238906145
Step: 135000, Reward: 56.04360996559262
Step: 136000, Reward: 76.31659602746367
Step: 137000, Reward: 215.5630573220551
Step: 138000, Reward: 129.0090902261436
Step: 139000, Reward: 205.78538412973285
Step: 140000, Reward: 212.7000570744276
Step: 141000, Reward: 167.06213917583227
Step: 142000, Reward: 223.5754164531827
Step: 143000, Reward: 192.53708561509848
Step: 144000, Reward: 174.8617965877056
Step: 145000, Reward: 209.75331392511725
Step: 146000, Reward: 195.9942476861179
Step: 147000, Reward: 200.05745523050427
Step: 148000, Reward: 114.35822451859713
Step: 149000, Reward: 172.1712527796626
Step: 150000, Reward: 168.41647815331817
Step: 151000, Reward: 191.47508208453655
