Step: 1000, Reward: -104.85301354527473
Step: 2000, Reward: -699.3043249845505
Step: 3000, Reward: -1227.9355040192604
Step: 4000, Reward: -697.6029492616653
Step: 5000, Reward: -920.0553154945374
Step: 6000, Reward: -1333.7190839648247
Step: 7000, Reward: -383.2666019797325
Step: 8000, Reward: -891.5594358146191
Step: 9000, Reward: -545.9252707958221
Step: 10000, Reward: -957.6750081181526
Step: 11000, Reward: -135.04133516550064
Step: 12000, Reward: -49.57208871841431
Step: 13000, Reward: -115.42315316200256
Step: 14000, Reward: -433.06819719076157
Step: 15000, Reward: -1105.2971820831299
Step: 16000, Reward: -395.8363500535488
Step: 17000, Reward: -319.72796243429184
Step: 18000, Reward: -624.401747584343
Step: 19000, Reward: -1675.4181796312332
Step: 20000, Reward: -1261.2320278286934
Step: 21000, Reward: -574.9455114603043
Step: 22000, Reward: -478.76219165325165
Step: 23000, Reward: -600.5078792572021
Step: 24000, Reward: -528.8266071677208
Step: 25000, Reward: -212.38303261995316
Step: 26000, Reward: -202.44152207672596
Step: 27000, Reward: -759.1121717691422
Step: 28000, Reward: -249.8894092142582
Step: 29000, Reward: -270.64332884550095
Step: 30000, Reward: -201.32952536642551
Step: 31000, Reward: -84.79907141625881
Step: 32000, Reward: -439.13458120822906
Step: 33000, Reward: -438.1318761706352
Step: 34000, Reward: -519.705890417099
Step: 35000, Reward: -80.72542583942413
Step: 36000, Reward: -353.9494575560093
Step: 37000, Reward: -24.559614844620228
Step: 38000, Reward: -13.681846797466278
Step: 39000, Reward: -126.2352405115962
Step: 40000, Reward: -250.3701877295971
Step: 41000, Reward: -342.9742988348007
Step: 42000, Reward: -149.21363019943237
Step: 43000, Reward: -314.1853730082512
Step: 44000, Reward: -6.4711417108774185
