Step: 1000, Reward: -98.3540620431304
Step: 2000, Reward: -65.05279529094696
Step: 3000, Reward: -139.42243818193674
Step: 4000, Reward: -762.7046510726213
Step: 5000, Reward: -1211.7409498691559
Step: 6000, Reward: -748.8914658278227
Step: 7000, Reward: -827.6789147928357
Step: 8000, Reward: -866.5062129497528
Step: 9000, Reward: -739.728141605854
Step: 10000, Reward: -1424.4885671883821
Step: 11000, Reward: -508.30548948049545
Step: 12000, Reward: -1193.1084656864405
Step: 13000, Reward: -837.5241606384516
Step: 14000, Reward: -558.3921731710434
Step: 15000, Reward: -1078.6954194903374
Step: 16000, Reward: -547.5636470913887
Step: 17000, Reward: -648.2246331572533
