Step: 1000, Reward: -106.49027689546347
Step: 2000, Reward: 57.52145101130009
Step: 3000, Reward: 32.380175188183784
Step: 4000, Reward: 34.593414291739464
Step: 5000, Reward: 1.798369139432907
Step: 6000, Reward: -486.9402574673295
Step: 7000, Reward: -32.41351689398289
Step: 8000, Reward: -233.91655930876732
Step: 9000, Reward: -974.0672896057367
Step: 10000, Reward: -1194.3328850120306
Step: 11000, Reward: -1231.031956344843
Step: 12000, Reward: -1148.8105452358723
Step: 13000, Reward: -1132.7373947650194
Step: 14000, Reward: -596.0603134334087
Step: 15000, Reward: -1125.9554430693388
Step: 16000, Reward: -1002.5786553770304
Step: 17000, Reward: -1088.7437186688185
Step: 18000, Reward: -1127.4474473893642
Step: 19000, Reward: -1242.6606532931328
Step: 20000, Reward: -1314.5478238910437
Step: 21000, Reward: -1416.7734304368496
Step: 22000, Reward: -746.4243757277727
Step: 23000, Reward: -10083.826772361994
Step: 24000, Reward: -1044.816867172718
Step: 25000, Reward: -809.6975271552801
Step: 26000, Reward: -1239.7843881249428
Step: 27000, Reward: -1206.0502735972404
Step: 28000, Reward: -1243.8471211791039
Step: 29000, Reward: -743.517725482583
Step: 30000, Reward: -292.2482946962118
Step: 31000, Reward: -914.8495305478573
Step: 32000, Reward: -700.8645011037588
Step: 33000, Reward: -869.0946911275387
Step: 34000, Reward: -982.6164544671774
Step: 35000, Reward: -1225.379284068942
Step: 36000, Reward: -1217.7924507707357
Step: 37000, Reward: -1492.7731294929981
Step: 38000, Reward: -886.4816328883171
Step: 39000, Reward: -966.2178933471441
Step: 40000, Reward: -1202.7323429733515
Step: 41000, Reward: -1244.222386956215
Step: 42000, Reward: -709.6057829707861
Step: 43000, Reward: -747.6285594701767
Step: 44000, Reward: -1064.9969425350428
Step: 45000, Reward: -1228.8862224966288
Step: 46000, Reward: -762.393867880106
Step: 47000, Reward: -719.291555583477
Step: 48000, Reward: -776.8756365031004
Step: 49000, Reward: -1090.6710245013237
Step: 50000, Reward: -1209.1875897794962
Step: 51000, Reward: -844.9280352145433
Step: 52000, Reward: -1319.4819723516703
Step: 53000, Reward: -891.5816808789968
Step: 54000, Reward: -534.8687734901905
Step: 55000, Reward: -1326.3927363157272
Step: 56000, Reward: -1107.4296360611916
Step: 57000, Reward: -1024.9860969036818
Step: 58000, Reward: -1087.1876462846994
Step: 59000, Reward: -1104.845158725977
Step: 60000, Reward: -737.1517940163612
Step: 61000, Reward: -567.5972577482462
Step: 62000, Reward: -1170.6942639946938
Step: 63000, Reward: -781.7716020941734
Step: 64000, Reward: -1189.064483806491
Step: 65000, Reward: -931.5740111768246
Step: 66000, Reward: -1217.0864074230194
Step: 67000, Reward: -1020.9832786023617
Step: 68000, Reward: -845.4925510659814
Step: 69000, Reward: -1044.95603120327
Step: 70000, Reward: -983.1489078849554
Step: 71000, Reward: -1039.7764680534601
Step: 72000, Reward: -956.2683573812246
Step: 73000, Reward: -1238.6024518013
Step: 74000, Reward: -1082.9746157377958
Step: 75000, Reward: -905.4050853252411
Step: 76000, Reward: -1347.8173080980778
