Step: 1000, Reward: -162.94236035645008
Step: 2000, Reward: -487.09188332408667
Step: 3000, Reward: -494.1311959400773
Step: 4000, Reward: -413.5606718957424
Step: 5000, Reward: -265.92253662645817
Step: 6000, Reward: 108.3537555038929
Step: 7000, Reward: -11.585780918598175
Step: 8000, Reward: -580.0085026919842
Step: 9000, Reward: -207.95632347464561
Step: 10000, Reward: -351.01616545021534
Step: 11000, Reward: -246.7073501944542
Step: 12000, Reward: -376.0992823243141
Step: 13000, Reward: -16.175706282258034
Step: 14000, Reward: -374.4802475422621
Step: 15000, Reward: -101.91084542870522
Step: 16000, Reward: -16.14531470835209
Step: 17000, Reward: -281.16437342762947
Step: 18000, Reward: 82.68982654809952
Step: 19000, Reward: -71.86585207283497
Step: 20000, Reward: 106.54849744588137
Step: 21000, Reward: -207.80560156702995
Step: 22000, Reward: 23.94570842385292
Step: 23000, Reward: 133.38734001666307
Step: 24000, Reward: -276.76572847366333
Step: 25000, Reward: -181.71001525223255
Step: 26000, Reward: -20.328339725732803
Step: 27000, Reward: -124.17586629837751
Step: 28000, Reward: -71.33389239013195
Step: 29000, Reward: 48.1257998496294
Step: 30000, Reward: -103.17724457383156
Step: 31000, Reward: -27.745734557509422
Step: 32000, Reward: -58.85389490425587
Step: 33000, Reward: 79.62688440084457
Step: 34000, Reward: 99.3268276154995
Step: 35000, Reward: 124.3031674772501
Step: 36000, Reward: 70.95129948854446
Step: 37000, Reward: -46.699584901332855
Step: 38000, Reward: 19.22644481062889
Step: 39000, Reward: -63.33814179897308
Step: 40000, Reward: 54.39831471443176
Step: 41000, Reward: -235.7942287325859
Step: 42000, Reward: 42.447964772582054
Step: 43000, Reward: -52.666276931762695
Step: 44000, Reward: 9.761179938912392
Step: 45000, Reward: -18.73677107691765
Step: 46000, Reward: 54.66179059445858
Step: 47000, Reward: 34.397510170936584
Step: 48000, Reward: -76.67199128866196
Step: 49000, Reward: 14.45291556417942
Step: 50000, Reward: 179.38963368162513
Step: 51000, Reward: 72.93445090949535
Step: 52000, Reward: 87.86208245158195
Step: 53000, Reward: 14.486722633242607
Step: 54000, Reward: -89.35651215910912
Step: 55000, Reward: -19.503030516207218
