Step: 1000, Reward: -44.38653004914522
Step: 2000, Reward: 6.877860628068447
Step: 3000, Reward: -84.11972849071026
Step: 4000, Reward: 14.98774003982544
Step: 5000, Reward: -1.3405204117298126
Step: 6000, Reward: -39.49125097692013
Step: 7000, Reward: -209.6264242976904
Step: 8000, Reward: -52.99322324618697
Step: 9000, Reward: -15.792496919631958
Step: 10000, Reward: -243.39548966288567
Step: 11000, Reward: -11.056255109608173
Step: 12000, Reward: -108.80603055655956
Step: 13000, Reward: -141.8126064836979
Step: 14000, Reward: -165.36144787073135
Step: 15000, Reward: -158.19637655839324
Step: 16000, Reward: -43.872643545269966
Step: 17000, Reward: -25.097369506955147
Step: 18000, Reward: -183.72215773910284
Step: 19000, Reward: -5.10400003939867
Step: 20000, Reward: -18.4100291877985
Step: 21000, Reward: -144.79626651853323
Step: 22000, Reward: 13.47450802475214
Step: 23000, Reward: 67.65376960486174
Step: 24000, Reward: 42.37084338068962
Step: 25000, Reward: -45.525949746370316
Step: 26000, Reward: -98.22055065631866
Step: 27000, Reward: 27.86822598427534
Step: 28000, Reward: -83.7722093462944
Step: 29000, Reward: -56.90893014520407
Step: 30000, Reward: 46.988670855760574
Step: 31000, Reward: -16.576149731874466
Step: 32000, Reward: -17.995307996869087
Step: 33000, Reward: -254.26719857752323
Step: 34000, Reward: -16.350862935185432
Step: 35000, Reward: -16.202540054917336
Step: 36000, Reward: 17.69677133858204
Step: 37000, Reward: -187.90415828675032
Step: 38000, Reward: -235.33376397192478
Step: 39000, Reward: -357.8403436653316
Step: 40000, Reward: -96.5291772633791
Step: 41000, Reward: 37.498362734913826
Step: 42000, Reward: -49.599234856665134
Step: 43000, Reward: -98.61135901510715
Step: 44000, Reward: -100.37229025363922
Step: 45000, Reward: -15.942815601825714
Step: 46000, Reward: -15.608839191496372
Step: 47000, Reward: -129.4682298898697
Step: 48000, Reward: 8.893842719495296
Step: 49000, Reward: -250.71777711808681
Step: 50000, Reward: -79.9878050237894
Step: 51000, Reward: -275.21395486593246
Step: 52000, Reward: -398.2649270966649
Step: 53000, Reward: -442.17957788705826
Step: 54000, Reward: -340.9498505666852
Step: 55000, Reward: -917.4462977051735
Step: 56000, Reward: -694.7816050797701
Step: 57000, Reward: -312.9798663407564
Step: 58000, Reward: -361.2523206025362
Step: 59000, Reward: -291.1124646961689
Step: 60000, Reward: -166.74563679099083
Step: 61000, Reward: -178.47652499377728
Step: 62000, Reward: -39.70450094342232
Step: 63000, Reward: -164.55164156854153
Step: 64000, Reward: -151.31621871888638
Step: 65000, Reward: -85.91368907690048
Step: 66000, Reward: -77.6026648953557
Step: 67000, Reward: -25.762832403182983
Step: 68000, Reward: -14.238154165446758
Step: 69000, Reward: 22.553166300058365
Step: 70000, Reward: 59.65074549615383
Step: 71000, Reward: 18.339137725532055
Step: 72000, Reward: -12.834647446870804
Step: 73000, Reward: 34.991070717573166
Step: 74000, Reward: -55.570716589689255
Step: 75000, Reward: -28.30395307764411
Step: 76000, Reward: -139.65976864099503
Step: 77000, Reward: -64.9594353735447
Step: 78000, Reward: -147.79612924158573
Step: 79000, Reward: 2.3875842243433
Step: 80000, Reward: -15.754586458206177
Step: 81000, Reward: -10.738311722874641
Step: 82000, Reward: -107.89348104596138
Step: 83000, Reward: 71.7283041253686
Step: 84000, Reward: 124.16717290133238
Step: 85000, Reward: 87.43301229923964
Step: 86000, Reward: -140.8259869888425
Step: 87000, Reward: -167.4751513749361
Step: 88000, Reward: -100.4444265961647
Step: 89000, Reward: -120.39482200145721
Step: 90000, Reward: 62.52332632988691
Step: 91000, Reward: -70.33774691820145
Step: 92000, Reward: 16.572190165519714
Step: 93000, Reward: 27.515514597296715
Step: 94000, Reward: 37.035464480519295
Step: 95000, Reward: 35.127876967191696
Step: 96000, Reward: -6.266290076076984
Step: 97000, Reward: 38.278848856687546
Step: 98000, Reward: 2.14760609716177
Step: 99000, Reward: 90.08573124557734
Step: 100000, Reward: 98.84218939393759
Step: 101000, Reward: 60.512370362877846
Step: 102000, Reward: 84.05224896222353
Step: 103000, Reward: 88.94928429275751
Step: 104000, Reward: 123.01040896773338
Step: 105000, Reward: 110.19177108258009
Step: 106000, Reward: 93.87816537544131
Step: 107000, Reward: 37.462609857320786
Step: 108000, Reward: 78.24532464891672
Step: 109000, Reward: 86.55627444386482
Step: 110000, Reward: 133.49508391320705
Step: 111000, Reward: 38.30366139113903
Step: 112000, Reward: 155.4533433020115
Step: 113000, Reward: 90.97012919932604
Step: 114000, Reward: 172.07273941487074
Step: 115000, Reward: 182.95214028656483
Step: 116000, Reward: 125.33501450717449
Step: 117000, Reward: 147.7740932777524
Step: 118000, Reward: 170.79673141241074
Step: 119000, Reward: 144.65817176550627
Step: 120000, Reward: 150.45758440345526
Step: 121000, Reward: 90.14483371376991
Step: 122000, Reward: 249.15138263255358
Step: 123000, Reward: 228.60274901986122
Step: 124000, Reward: 221.56624441966414
Step: 125000, Reward: 150.46547144651413
Step: 126000, Reward: 270.0213531963527
Step: 127000, Reward: 210.72828574106097
Step: 128000, Reward: 220.78296064212918
Step: 129000, Reward: 176.2942107245326
Step: 130000, Reward: 217.05857721716166
Step: 131000, Reward: 111.35802048444748
Step: 132000, Reward: 164.4157825410366
Step: 133000, Reward: 182.4232318997383
Step: 134000, Reward: 178.7890218347311
Step: 135000, Reward: 153.95483217388391
Step: 136000, Reward: 256.4906748011708
Step: 137000, Reward: 228.62111638486385
Step: 138000, Reward: 193.56282448768616
Step: 139000, Reward: 233.71576741337776
Step: 140000, Reward: 245.38477559387684
Step: 141000, Reward: 284.9867971241474
Step: 142000, Reward: 203.2698761485517
Step: 143000, Reward: 146.04057870060205
Step: 144000, Reward: 211.2536592707038
Step: 145000, Reward: 153.10702876374125
Step: 146000, Reward: 256.33042614907026
Step: 147000, Reward: 242.3468990623951
Step: 148000, Reward: 280.4264350309968
Step: 149000, Reward: 326.6956949532032
Step: 150000, Reward: 269.447142586112
