Step: 1000, Reward: -842.375128954649
Step: 2000, Reward: -1407.8298134207726
Step: 3000, Reward: -798.37524330616
Step: 4000, Reward: -110.86783415079117
Step: 5000, Reward: -564.1823964118958
Step: 6000, Reward: -2.1340949833393097
Step: 7000, Reward: 85.52937725186348
Step: 8000, Reward: -150.20382216572762
Step: 9000, Reward: -282.30835831165314
Step: 10000, Reward: -331.62731498479843
Step: 11000, Reward: -797.3076151609421
Step: 12000, Reward: -1042.8796998560429
Step: 13000, Reward: -99.51024961471558
Step: 14000, Reward: -126.43909074366093
Step: 15000, Reward: -458.25004033744335
Step: 16000, Reward: -603.3661581724882
Step: 17000, Reward: -249.90759532153606
Step: 18000, Reward: -218.60951182246208
Step: 19000, Reward: -55.22784185409546
Step: 20000, Reward: -238.7496594786644
Step: 21000, Reward: -340.8066155910492
Step: 22000, Reward: -97.31737378239632
Step: 23000, Reward: -575.3566213697195
Step: 24000, Reward: -483.8008318245411
Step: 25000, Reward: -340.52270966768265
Step: 26000, Reward: -1026.126886844635
Step: 27000, Reward: -292.1739876270294
Step: 28000, Reward: -2039.0396136939526
Step: 29000, Reward: -955.1492695808411
Step: 30000, Reward: -248.13159760832787
Step: 31000, Reward: -400.1167343258858
Step: 32000, Reward: -522.5797917842865
Step: 33000, Reward: -174.6667134463787
Step: 34000, Reward: -223.04520046710968
Step: 35000, Reward: -353.04283010959625
Step: 36000, Reward: -12.545178860425949
Step: 37000, Reward: -272.3695705384016
Step: 38000, Reward: -826.0522881746292
Step: 39000, Reward: -671.8896099328995
Step: 40000, Reward: -36.78085482120514
Step: 41000, Reward: -289.51756593585014
