Step: 1000, Reward: -257.84274446964264
Step: 2000, Reward: -255.59474903345108
Step: 3000, Reward: -432.7077623605728
Step: 4000, Reward: -82.85141748189926
Step: 5000, Reward: -443.1861419081688
Step: 6000, Reward: -110.00930392742157
Step: 7000, Reward: -128.4987763017416
Step: 8000, Reward: -37.35262683033943
Step: 9000, Reward: -138.48569160699844
Step: 10000, Reward: -171.88095200061798
Step: 11000, Reward: -169.6517316699028
Step: 12000, Reward: -307.9441229104996
Step: 13000, Reward: -347.591894865036
Step: 14000, Reward: -133.44265531003475
Step: 15000, Reward: -44.88394460082054
