Step: 1000, Reward: 69.30202786624432
Step: 2000, Reward: -20.52633249759674
Step: 3000, Reward: 30.962595835328102
Step: 4000, Reward: 22.388309940695763
Step: 5000, Reward: 0.6865634322166443
Step: 6000, Reward: -108.02305017411709
Step: 7000, Reward: 11.242389053106308
Step: 8000, Reward: 49.64647725224495
Step: 9000, Reward: -149.52446593344212
Step: 10000, Reward: -120.65372085571289
Step: 11000, Reward: -134.61470021307468
Step: 12000, Reward: -138.44554041326046
Step: 13000, Reward: -46.84634780883789
Step: 14000, Reward: -4.223866358399391
Step: 15000, Reward: -44.13988083600998
Step: 16000, Reward: -10.520736664533615
Step: 17000, Reward: -26.611931204795837
Step: 18000, Reward: -135.7975097298622
Step: 19000, Reward: 23.579926192760468
Step: 20000, Reward: -213.4279678016901
