Step: 1000, Reward: -8.578995257616043
Step: 2000, Reward: -69.85275922715664
Step: 3000, Reward: 11.912532091140747
Step: 4000, Reward: 22.983812674880028
Step: 5000, Reward: 78.57525209337473
Step: 6000, Reward: -22.688560016453266
Step: 7000, Reward: -123.20927692949772
Step: 8000, Reward: -48.8640203922987
Step: 9000, Reward: 40.41027391701937
Step: 10000, Reward: 84.8766511939466
Step: 11000, Reward: 68.07570005208254
Step: 12000, Reward: -62.999149680137634
Step: 13000, Reward: 13.085177890956402
Step: 14000, Reward: 22.504050627350807
Step: 15000, Reward: -169.98345567286015
Step: 16000, Reward: 155.52500004321337
Step: 17000, Reward: 109.61743422597647
Step: 18000, Reward: 93.29284299910069
Step: 19000, Reward: 117.45616962015629
Step: 20000, Reward: 130.49450512230396
