Step: 1000, Reward: -234.94489784538746
Step: 2000, Reward: -232.12083226442337
Step: 3000, Reward: -431.33388006687164
Step: 4000, Reward: -212.15268021821976
Step: 5000, Reward: 51.86524909734726
Step: 6000, Reward: -430.1542508006096
Step: 7000, Reward: -254.68742448091507
Step: 8000, Reward: 30.656384974718094
Step: 9000, Reward: -96.77210888266563
Step: 10000, Reward: -542.2817794084549
Step: 11000, Reward: 57.345485150814056
Step: 12000, Reward: -77.52283000946045
Step: 13000, Reward: -334.08635054528713
Step: 14000, Reward: -240.58916294574738
Step: 15000, Reward: -23.09598059952259
Step: 16000, Reward: -84.59768438339233
Step: 17000, Reward: -171.77888149023056
Step: 18000, Reward: -155.02630883455276
Step: 19000, Reward: -374.26110595464706
Step: 20000, Reward: -200.54378753900528
Step: 21000, Reward: 44.94360730051994
Step: 22000, Reward: -66.9675400853157
Step: 23000, Reward: -30.413019850850105
Step: 24000, Reward: 8.263256639242172
Step: 25000, Reward: 15.976714998483658
Step: 26000, Reward: -497.99207881093025
Step: 27000, Reward: 57.980189085006714
Step: 28000, Reward: -48.48301103711128
Step: 29000, Reward: 10.980598330497742
Step: 30000, Reward: -29.463422894477844
Step: 31000, Reward: -21.106010109186172
Step: 32000, Reward: -106.5980723053217
Step: 33000, Reward: -152.4562869668007
Step: 34000, Reward: -209.30314761400223
Step: 35000, Reward: -288.5145694613457
Step: 36000, Reward: -198.82209938764572
Step: 37000, Reward: -369.2027395963669
Step: 38000, Reward: 21.38030231744051
Step: 39000, Reward: -64.7555803656578
Step: 40000, Reward: -1.092308133840561
Step: 41000, Reward: -185.74934870004654
Step: 42000, Reward: -44.17084401845932
Step: 43000, Reward: 81.75370043516159
Step: 44000, Reward: 15.788698256015778
Step: 45000, Reward: -77.37023895978928
Step: 46000, Reward: -5.591001212596893
Step: 47000, Reward: -215.71798333525658
Step: 48000, Reward: 56.65085634589195
Step: 49000, Reward: -170.4057445526123
Step: 50000, Reward: -115.34684085845947
Step: 51000, Reward: 23.207033455371857
Step: 52000, Reward: -87.70471838116646
Step: 53000, Reward: 27.552509039640427
Step: 54000, Reward: 50.182946279644966
Step: 55000, Reward: 53.2821446955204
Step: 56000, Reward: -62.121398240327835
Step: 57000, Reward: 28.43139871954918
Step: 58000, Reward: -65.63957357406616
Step: 59000, Reward: 112.27771081030369
Step: 60000, Reward: 109.18979576230049
Step: 61000, Reward: 109.14354595541954
Step: 62000, Reward: 24.69936642050743
Step: 63000, Reward: 8.809424608945847
Step: 64000, Reward: -65.8746073693037
Step: 65000, Reward: 20.44995066523552
Step: 66000, Reward: 101.7288604080677
Step: 67000, Reward: -113.40132063627243
Step: 68000, Reward: 3.3959329426288605
Step: 69000, Reward: 90.29532411694527
Step: 70000, Reward: 97.72768411040306
Step: 71000, Reward: 85.42748695611954
Step: 72000, Reward: 59.862790644168854
Step: 73000, Reward: 11.680858060717583
Step: 74000, Reward: 19.358243346214294
Step: 75000, Reward: -8.972848922014236
Step: 76000, Reward: 123.84744961559772
Step: 77000, Reward: 98.78332749009132
Step: 78000, Reward: 108.00016527622938
Step: 79000, Reward: -53.70708838105202
Step: 80000, Reward: 4.045191556215286
Step: 81000, Reward: 163.0557380989194
Step: 82000, Reward: 46.542610093951225
Step: 83000, Reward: 33.45061935484409
Step: 84000, Reward: 65.89442923665047
Step: 85000, Reward: 122.17440780997276
Step: 86000, Reward: 143.12723817676306
Step: 87000, Reward: 14.761228397488594
Step: 88000, Reward: 46.54514420032501
Step: 89000, Reward: 76.98456232249737
Step: 90000, Reward: 36.74057397991419
Step: 91000, Reward: 271.5505743250251
Step: 92000, Reward: 54.71792910248041
Step: 93000, Reward: 103.90486271679401
Step: 94000, Reward: 197.4655600860715
Step: 95000, Reward: 85.02372348308563
Step: 96000, Reward: 113.07136169075966
Step: 97000, Reward: 101.54195673763752
Step: 98000, Reward: 118.00127590447664
Step: 99000, Reward: 126.10507623106241
Step: 100000, Reward: 62.53304813802242
Step: 101000, Reward: 21.404961794614792
Step: 102000, Reward: 149.35796934366226
Step: 103000, Reward: 222.09860957413912
Step: 104000, Reward: 211.36804891377687
Step: 105000, Reward: 146.18487667292356
Step: 106000, Reward: 134.7872447296977
Step: 107000, Reward: 102.80477122962475
Step: 108000, Reward: 193.91568678617477
Step: 109000, Reward: -114.73987682163715
Step: 110000, Reward: 227.77428971230984
Step: 111000, Reward: 95.32362349331379
Step: 112000, Reward: 70.06867483258247
Step: 113000, Reward: 123.9100208953023
Step: 114000, Reward: 57.126686938107014
Step: 115000, Reward: 152.83866158872843
Step: 116000, Reward: 28.757047295570374
Step: 117000, Reward: 91.89960619807243
Step: 118000, Reward: 18.850106939673424
Step: 119000, Reward: 81.68704214692116
Step: 120000, Reward: 151.2200775668025
Step: 121000, Reward: 137.3945309817791
Step: 122000, Reward: 161.64845522493124
Step: 123000, Reward: 56.067805752158165
Step: 124000, Reward: 82.04234744608402
Step: 125000, Reward: 248.5812724456191
Step: 126000, Reward: 280.4281397238374
Step: 127000, Reward: 203.9444654211402
Step: 128000, Reward: 129.19236752390862
Step: 129000, Reward: 242.91722635179758
Step: 130000, Reward: 103.99701324105263
Step: 131000, Reward: 133.03563982248306
Step: 132000, Reward: 80.5259340852499
Step: 133000, Reward: 218.6864900738001
Step: 134000, Reward: 162.0443983003497
Step: 135000, Reward: 99.40702282637358
Step: 136000, Reward: 143.5660254135728
Step: 137000, Reward: 167.99832648038864
Step: 138000, Reward: 34.23284205049276
Step: 139000, Reward: 89.05993251502514
Step: 140000, Reward: 158.2884020805359
Step: 141000, Reward: 67.95281898975372
Step: 142000, Reward: 173.58620488643646
Step: 143000, Reward: 120.273278221488
Step: 144000, Reward: 126.43664315342903
Step: 145000, Reward: -14.437564805150032
Step: 146000, Reward: 102.0117557644844
Step: 147000, Reward: 134.31429696828127
Step: 148000, Reward: 103.01508286595345
Step: 149000, Reward: 92.70249030739069
Step: 150000, Reward: 119.14799481630325
Step: 151000, Reward: 178.17917255312204
Step: 152000, Reward: 184.5545433163643
Step: 153000, Reward: 239.93428736925125
Step: 154000, Reward: 187.3798265606165
Step: 155000, Reward: 249.18517553806305
Step: 156000, Reward: 190.5256578400731
Step: 157000, Reward: 203.4064471423626
Step: 158000, Reward: 122.47865894436836
Step: 159000, Reward: 144.87487699091434
Step: 160000, Reward: 181.12601946294308
Step: 161000, Reward: 125.16379567980766
Step: 162000, Reward: 190.47335177659988
Step: 163000, Reward: 224.73953356593847
Step: 164000, Reward: 57.9477246850729
Step: 165000, Reward: 76.85474509745836
Step: 166000, Reward: 226.95912463217974
Step: 167000, Reward: 174.24655053019524
Step: 168000, Reward: 196.85880178958178
Step: 169000, Reward: 226.40896505117416
Step: 170000, Reward: 227.08628891408443
