Step: 1000, Reward: 56.18748205900192
Step: 2000, Reward: 59.13731783628464
Step: 3000, Reward: -0.11220067739486694
Step: 4000, Reward: -60.11815620958805
Step: 5000, Reward: 21.166513606905937
Step: 6000, Reward: 22.376337960362434
Step: 7000, Reward: -0.4739452600479126
Step: 8000, Reward: 46.806647285819054
Step: 9000, Reward: 73.32352079451084
Step: 10000, Reward: 17.592536464333534
Step: 11000, Reward: 71.82985371351242
Step: 12000, Reward: 18.60141235589981
Step: 13000, Reward: 83.08079499006271
Step: 14000, Reward: 90.70152641832829
Step: 15000, Reward: 75.3506473004818
Step: 16000, Reward: -1.157862201333046
Step: 17000, Reward: 143.2824292331934
Step: 18000, Reward: 123.91338993608952
Step: 19000, Reward: 87.052152171731
Step: 20000, Reward: 62.33252641558647
Step: 21000, Reward: 77.86737099289894
Step: 22000, Reward: 66.77465517818928
Step: 23000, Reward: -35.05801624059677
Step: 24000, Reward: 100.4831306040287
Step: 25000, Reward: 65.38056293874979
Step: 26000, Reward: 84.7961034476757
Step: 27000, Reward: 32.88514192402363
Step: 28000, Reward: 63.10705594718456
Step: 29000, Reward: 65.70501866936684
Step: 30000, Reward: 100.05693572759628
Step: 31000, Reward: 109.90555866807699
Step: 32000, Reward: 102.2146380096674
Step: 33000, Reward: 24.97761259973049
Step: 34000, Reward: 168.4558394253254
Step: 35000, Reward: 19.3947686329484
Step: 36000, Reward: 122.90310456603765
Step: 37000, Reward: 82.38749021291733
Step: 38000, Reward: 57.614380925893784
Step: 39000, Reward: 184.8715754300356
Step: 40000, Reward: 133.09510008990765
Step: 41000, Reward: 70.54932449758053
Step: 42000, Reward: 69.12589918076992
Step: 43000, Reward: 120.92896403372288
Step: 44000, Reward: 142.3410241007805
Step: 45000, Reward: 118.12526378035545
Step: 46000, Reward: 167.38206442445517
Step: 47000, Reward: 145.16470578312874
Step: 48000, Reward: 162.92147180438042
Step: 49000, Reward: 121.09655998647213
Step: 50000, Reward: 215.37445620447397
Step: 51000, Reward: 150.4884138777852
Step: 52000, Reward: 125.52253384888172
Step: 53000, Reward: 208.4615455530584
Step: 54000, Reward: 159.7740122526884
Step: 55000, Reward: 159.582291867584
Step: 56000, Reward: 139.57318748533726
Step: 57000, Reward: 152.82712759822607
Step: 58000, Reward: 141.93257655575871
Step: 59000, Reward: 20.841726779937744
Step: 60000, Reward: 168.16596607863903
Step: 61000, Reward: 201.96654466167092
Step: 62000, Reward: 154.49533541500568
Step: 63000, Reward: 142.96997697278857
Step: 64000, Reward: 169.6872385852039
Step: 65000, Reward: 137.15780001878738
Step: 66000, Reward: 170.80313181877136
Step: 67000, Reward: 183.89511571452022
Step: 68000, Reward: 171.88459435850382
Step: 69000, Reward: 125.5897898003459
Step: 70000, Reward: 159.54063344746828
Step: 71000, Reward: 174.29323478788137
Step: 72000, Reward: 176.174610003829
Step: 73000, Reward: 158.31286207586527
Step: 74000, Reward: 225.03015733510256
Step: 75000, Reward: 152.17415926605463
Step: 76000, Reward: 111.21679606288671
Step: 77000, Reward: 186.14899091422558
Step: 78000, Reward: 164.36332232505083
Step: 79000, Reward: 194.4184696264565
Step: 80000, Reward: 226.47919012233615
Step: 81000, Reward: 136.95093420892954
Step: 82000, Reward: 144.03847218304873
Step: 83000, Reward: 205.082643982023
Step: 84000, Reward: 176.18691212311387
Step: 85000, Reward: 149.65725688636303
Step: 86000, Reward: 136.70976409316063
Step: 87000, Reward: 180.99295499920845
Step: 88000, Reward: 142.45179715752602
Step: 89000, Reward: 142.42144779860973
Step: 90000, Reward: 181.5625964589417
Step: 91000, Reward: 176.909322373569
Step: 92000, Reward: 119.43094196915627
Step: 93000, Reward: 159.5238392688334
Step: 94000, Reward: 167.64261208474636
Step: 95000, Reward: 185.22893951833248
Step: 96000, Reward: 144.82941199094057
Step: 97000, Reward: 191.2929496616125
Step: 98000, Reward: 199.14533535391092
Step: 99000, Reward: 129.70162203907967
Step: 100000, Reward: 136.7447708249092
Step: 101000, Reward: 176.17318961769342
Step: 102000, Reward: 189.4400400966406
Step: 103000, Reward: 201.71683748066425
Step: 104000, Reward: 189.64706034585834
Step: 105000, Reward: 84.2805395051837
Step: 106000, Reward: 158.2653979100287
Step: 107000, Reward: 150.8466111794114
Step: 108000, Reward: 202.9281856007874
Step: 109000, Reward: 164.26905411109328
Step: 110000, Reward: 174.23724883794785
Step: 111000, Reward: 178.68509225547314
Step: 112000, Reward: 192.6349903717637
Step: 113000, Reward: 184.76036471500993
Step: 114000, Reward: 178.29833611100912
Step: 115000, Reward: 211.72783928737044
Step: 116000, Reward: 156.1744525283575
Step: 117000, Reward: 243.25780615210533
Step: 118000, Reward: 183.45910802856088
Step: 119000, Reward: 185.03090858832002
Step: 120000, Reward: 207.1269456334412
Step: 121000, Reward: 179.07491190358996
Step: 122000, Reward: 162.24829899147153
Step: 123000, Reward: 194.2269394658506
Step: 124000, Reward: 188.73243363946676
Step: 125000, Reward: 145.62143712490797
Step: 126000, Reward: 230.1989865899086
Step: 127000, Reward: 186.07445718348026
Step: 128000, Reward: 183.24516294896603
Step: 129000, Reward: 162.6854664720595
Step: 130000, Reward: 187.5213886834681
Step: 131000, Reward: 232.15762813016772
Step: 132000, Reward: 177.41913491487503
Step: 133000, Reward: 181.85972211509943
Step: 134000, Reward: 193.9223436973989
Step: 135000, Reward: 216.05487354844809
Step: 136000, Reward: 232.18907390907407
Step: 137000, Reward: 154.52041698247194
Step: 138000, Reward: 191.69433185458183
Step: 139000, Reward: 227.78311065211892
Step: 140000, Reward: 137.7645907253027
Step: 141000, Reward: 164.40885439515114
Step: 142000, Reward: 186.57509220018983
Step: 143000, Reward: 117.55345444381237
Step: 144000, Reward: 168.56538926064968
Step: 145000, Reward: 50.16945531964302
Step: 146000, Reward: 176.4683668538928
Step: 147000, Reward: 229.40482323989272
Step: 148000, Reward: 192.22235167771578
Step: 149000, Reward: 162.4226571917534
Step: 150000, Reward: 213.6347510293126
Step: 151000, Reward: 203.27513745427132
Step: 152000, Reward: 131.44744116812944
Step: 153000, Reward: 165.247489400208
Step: 154000, Reward: 176.00948328524828
Step: 155000, Reward: 235.58235515281558
Step: 156000, Reward: 151.62356804311275
Step: 157000, Reward: 176.8601092658937
Step: 158000, Reward: 184.39946150779724
Step: 159000, Reward: 220.7674007229507
Step: 160000, Reward: 209.65573179721832
Step: 161000, Reward: 251.04559245333076
Step: 162000, Reward: 231.2029439099133
Step: 163000, Reward: 187.0160562247038
Step: 164000, Reward: 146.5086680278182
Step: 165000, Reward: 223.24927270039916
Step: 166000, Reward: 216.17396819591522
Step: 167000, Reward: 152.90694699063897
Step: 168000, Reward: 179.89472889527678
Step: 169000, Reward: 178.57197839394212
Step: 170000, Reward: 214.16860013082623
Step: 171000, Reward: 225.02214027941227
Step: 172000, Reward: 253.4891923852265
Step: 173000, Reward: 189.55581559240818
Step: 174000, Reward: 187.75255911052227
Step: 175000, Reward: 198.50143395364285
Step: 176000, Reward: 169.3604533150792
Step: 177000, Reward: 189.48604200780392
Step: 178000, Reward: 162.02715258300304
Step: 179000, Reward: 155.09029683470726
Step: 180000, Reward: 203.33776056021452
Step: 181000, Reward: 177.45806239917874
Step: 182000, Reward: 143.62590182572603
Step: 183000, Reward: 159.23334623873234
